CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 8 61.164062 1570340025.0993
MEM 31.367188 1570340025.2329
CHLD 0 31.617188 1570340025.2359
CHLD 1 68.429688 1570340025.2359
CHLD 2 273.242188 1570340025.2359
CHLD 3 354.351562 1570340025.2359
CHLD 4 143.683594 1570340025.2359
CHLD 5 56.355469 1570340025.2359
CHLD 6 119.703125 1570340025.2359
CHLD 7 190.539062 1570340025.2359
CHLD 8 62.113281 1570340025.2359
MEM 31.367188 1570340025.3586
CHLD 0 31.617188 1570340025.3616
CHLD 1 69.378906 1570340025.3616
CHLD 2 291.554688 1570340025.3616
CHLD 3 372.222656 1570340025.3616
CHLD 4 144.746094 1570340025.3616
CHLD 5 57.304688 1570340025.3616
CHLD 6 120.390625 1570340025.3616
CHLD 7 202.250000 1570340025.3616
CHLD 8 62.429688 1570340025.3616
MEM 31.367188 1570340025.4897
CHLD 0 31.617188 1570340025.4927
CHLD 1 70.265625 1570340025.4927
CHLD 2 298.328125 1570340025.4927
CHLD 3 381.855469 1570340025.4927
CHLD 4 145.746094 1570340025.4927
CHLD 5 58.449219 1570340025.4927
CHLD 6 121.148438 1570340025.4927
CHLD 7 212.945312 1570340025.4927
CHLD 8 63.332031 1570340025.4927
MEM 31.367188 1570340025.6244
CHLD 0 31.617188 1570340025.6274
CHLD 1 71.468750 1570340025.6274
CHLD 2 312.125000 1570340025.6274
CHLD 3 386.042969 1570340025.6274
CHLD 4 146.992188 1570340025.6274
CHLD 5 59.765625 1570340025.6274
CHLD 6 121.828125 1570340025.6274
CHLD 7 232.687500 1570340025.6274
CHLD 8 63.964844 1570340025.6274
MEM 31.367188 1570340025.7535
CHLD 0 31.617188 1570340025.7565
CHLD 1 72.671875 1570340025.7565
CHLD 2 327.445312 1570340025.7565
CHLD 3 403.726562 1570340025.7565
CHLD 4 148.433594 1570340025.7565
CHLD 5 60.968750 1570340025.7565
CHLD 6 122.390625 1570340025.7565
CHLD 7 241.851562 1570340025.7565
CHLD 8 64.597656 1570340025.7565
MEM 31.367188 1570340025.8697
CHLD 0 31.617188 1570340025.8727
CHLD 1 73.601562 1570340025.8727
CHLD 2 327.445312 1570340025.8727
CHLD 3 421.863281 1570340025.8727
CHLD 4 149.496094 1570340025.8727
CHLD 5 61.285156 1570340025.8727
CHLD 6 122.972656 1570340025.8727
CHLD 7 259.550781 1570340025.8727
CHLD 8 65.738281 1570340025.8727
MEM 31.367188 1570340026.0014
CHLD 0 31.617188 1570340026.0044
CHLD 1 74.832031 1570340026.0044
CHLD 2 347.292969 1570340026.0044
CHLD 3 439.523438 1570340026.0044
CHLD 4 150.621094 1570340026.0044
CHLD 5 62.171875 1570340026.0044
CHLD 6 123.703125 1570340026.0044
CHLD 7 268.371094 1570340026.0044
CHLD 8 67.003906 1570340026.0044
MEM 31.367188 1570340026.1395
CHLD 0 31.617188 1570340026.1425
CHLD 1 75.781250 1570340026.1425
CHLD 2 366.398438 1570340026.1425
CHLD 3 451.457031 1570340026.1425
CHLD 4 151.824219 1570340026.1425
CHLD 5 62.804688 1570340026.1425
CHLD 6 124.453125 1570340026.1425
CHLD 7 283.195312 1570340026.1425
CHLD 8 68.207031 1570340026.1425
MEM 31.367188 1570340026.2767
CHLD 0 31.617188 1570340026.2797
CHLD 1 76.984375 1570340026.2797
CHLD 2 385.929688 1570340026.2797
CHLD 3 451.457031 1570340026.2797
CHLD 4 152.433594 1570340026.2797
CHLD 5 63.691406 1570340026.2797
CHLD 6 125.078125 1570340026.2797
CHLD 7 301.410156 1570340026.2797
CHLD 8 69.410156 1570340026.2797
MEM 31.367188 1570340026.4053
CHLD 0 31.617188 1570340026.4083
CHLD 1 78.152344 1570340026.4083
CHLD 2 413.414062 1570340026.4083
CHLD 3 456.210938 1570340026.4083
CHLD 4 152.996094 1570340026.4083
CHLD 5 64.324219 1570340026.4083
CHLD 6 125.468750 1570340026.4083
CHLD 7 313.238281 1570340026.4083
CHLD 8 70.675781 1570340026.4083
MEM 31.367188 1570340026.5340
CHLD 0 31.617188 1570340026.5370
CHLD 1 79.136719 1570340026.5370
CHLD 2 416.167969 1570340026.5370
CHLD 3 479.113281 1570340026.5370
CHLD 4 153.558594 1570340026.5370
CHLD 5 64.890625 1570340026.5370
CHLD 6 126.000000 1570340026.5380
CHLD 7 313.238281 1570340026.5380
CHLD 8 71.843750 1570340026.5380
MEM 31.367188 1570340026.6676
CHLD 0 31.617188 1570340026.6706
CHLD 1 80.339844 1570340026.6706
CHLD 2 453.765625 1570340026.6706
CHLD 3 496.691406 1570340026.6706
CHLD 4 154.308594 1570340026.6706
CHLD 5 65.273438 1570340026.6706
CHLD 6 126.703125 1570340026.6706
CHLD 7 336.445312 1570340026.6706
CHLD 8 73.089844 1570340026.6706
MEM 31.367188 1570340026.7873
CHLD 0 31.617188 1570340026.7903
CHLD 1 81.542969 1570340026.7903
CHLD 2 471.445312 1570340026.7903
CHLD 3 426.945312 1570340026.7903
CHLD 4 154.859375 1570340026.7903
CHLD 5 66.125000 1570340026.7903
CHLD 6 127.328125 1570340026.7903
CHLD 7 354.050781 1570340026.7903
CHLD 8 74.039062 1570340026.7903
MEM 31.367188 1570340026.9115
CHLD 0 31.617188 1570340026.9145
CHLD 1 82.441406 1570340026.9145
CHLD 2 478.542969 1570340026.9145
CHLD 3 427.667969 1570340026.9145
CHLD 4 155.433594 1570340026.9145
CHLD 5 66.792969 1570340026.9145
CHLD 6 127.890625 1570340026.9145
CHLD 7 371.562500 1570340026.9145
CHLD 8 75.242188 1570340026.9145
MEM 31.367188 1570340027.0367
CHLD 0 31.617188 1570340027.0397
CHLD 1 83.632812 1570340027.0397
CHLD 2 515.156250 1570340027.0397
CHLD 3 428.417969 1570340027.0397
CHLD 4 156.183594 1570340027.0397
CHLD 5 67.363281 1570340027.0397
CHLD 6 128.578125 1570340027.0397
CHLD 7 371.562500 1570340027.0397
CHLD 8 76.441406 1570340027.0397
MEM 31.367188 1570340027.1743
CHLD 0 31.617188 1570340027.1773
CHLD 1 84.582031 1570340027.1773
CHLD 2 546.800781 1570340027.1773
CHLD 3 429.105469 1570340027.1773
CHLD 4 156.746094 1570340027.1773
CHLD 5 67.996094 1570340027.1773
CHLD 6 129.390625 1570340027.1773
CHLD 7 383.765625 1570340027.1773
CHLD 8 77.675781 1570340027.1773
MEM 31.367188 1570340027.3164
CHLD 0 31.617188 1570340027.3194
CHLD 1 85.769531 1570340027.3194
CHLD 2 546.800781 1570340027.3194
CHLD 3 429.699219 1570340027.3194
CHLD 4 157.585938 1570340027.3194
CHLD 5 68.882812 1570340027.3194
CHLD 6 129.972656 1570340027.3194
CHLD 7 404.105469 1570340027.3194
CHLD 8 78.914062 1570340027.3194
MEM 31.367188 1570340027.4426
CHLD 0 31.617188 1570340027.4456
CHLD 1 86.734375 1570340027.4456
CHLD 2 570.679688 1570340027.4456
CHLD 3 430.472656 1570340027.4456
CHLD 4 158.246094 1570340027.4456
CHLD 5 69.515625 1570340027.4456
CHLD 6 130.640625 1570340027.4456
CHLD 7 421.367188 1570340027.4456
CHLD 8 80.117188 1570340027.4456
MEM 31.367188 1570340027.5633
CHLD 0 31.617188 1570340027.5663
CHLD 1 87.937500 1570340027.5663
CHLD 2 604.578125 1570340027.5663
CHLD 3 431.105469 1570340027.5663
CHLD 4 158.808594 1570340027.5663
CHLD 5 70.148438 1570340027.5663
CHLD 6 131.257812 1570340027.5663
CHLD 7 371.882812 1570340027.5663
CHLD 8 81.320312 1570340027.5663
MEM 31.367188 1570340027.7004
CHLD 0 31.617188 1570340027.7034
CHLD 1 89.140625 1570340027.7034
CHLD 2 637.339844 1570340027.7034
CHLD 3 431.855469 1570340027.7034
CHLD 4 159.496094 1570340027.7044
CHLD 5 70.707031 1570340027.7044
CHLD 6 132.078125 1570340027.7044
CHLD 7 372.718750 1570340027.7044
CHLD 8 82.585938 1570340027.7044
MEM 31.367188 1570340027.8246
CHLD 0 31.617188 1570340027.8276
CHLD 1 90.046875 1570340027.8276
CHLD 2 637.339844 1570340027.8276
CHLD 3 432.425781 1570340027.8276
CHLD 4 159.996094 1570340027.8276
CHLD 5 71.667969 1570340027.8276
CHLD 6 132.703125 1570340027.8276
CHLD 7 373.589844 1570340027.8276
CHLD 8 83.753906 1570340027.8276
MEM 31.367188 1570340027.9597
CHLD 0 31.617188 1570340027.9627
CHLD 1 91.292969 1570340027.9627
CHLD 2 648.093750 1570340027.9627
CHLD 3 433.230469 1570340027.9627
CHLD 4 160.746094 1570340027.9627
CHLD 5 72.234375 1570340027.9627
CHLD 6 133.328125 1570340027.9627
CHLD 7 374.164062 1570340027.9627
CHLD 8 84.992188 1570340027.9627
MEM 31.367188 1570340028.0964
CHLD 0 31.617188 1570340028.0994
CHLD 1 92.503906 1570340028.0994
CHLD 2 687.058594 1570340028.0994
CHLD 3 434.050781 1570340028.0994
CHLD 4 161.433594 1570340028.0994
CHLD 5 72.871094 1570340028.0994
CHLD 6 134.203125 1570340028.0994
CHLD 7 375.027344 1570340028.0994
CHLD 8 86.511719 1570340028.0994
MEM 31.367188 1570340028.2325
CHLD 0 31.617188 1570340028.2355
CHLD 1 93.707031 1570340028.2355
CHLD 2 725.703125 1570340028.2355
CHLD 3 434.667969 1570340028.2355
CHLD 4 162.183594 1570340028.2355
CHLD 5 73.757812 1570340028.2355
CHLD 6 134.765625 1570340028.2355
CHLD 7 375.777344 1570340028.2355
CHLD 8 87.714844 1570340028.2355
MEM 31.367188 1570340028.3577
CHLD 0 31.617188 1570340028.3607
CHLD 1 94.593750 1570340028.3607
CHLD 2 750.910156 1570340028.3607
CHLD 3 435.347656 1570340028.3607
CHLD 4 162.683594 1570340028.3607
CHLD 5 74.144531 1570340028.3607
